City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,remire-montjoly,4.9167,-52.2667,23.02,100,20,1.03,GF,1712568787
1,wailua homesteads,22.0669,-159.378,22.44,84,75,7.2,US,1712568592
2,kayangel,8.0823,134.7173,28.25,77,15,6.12,PW,1712568787
3,kodiak,57.79,-152.4072,-1.27,86,0,0.0,US,1712568787
4,alice springs,-23.7,133.8833,24.56,21,99,3.09,AU,1712568754
5,geraldton,-28.7667,114.6,35.23,12,0,10.8,AU,1712568788
6,sitka,57.0531,-135.33,3.94,81,100,5.66,US,1712568678
7,isafjordur,66.0755,-23.124,-0.98,69,100,8.75,IS,1712568788
8,puerto natales,-51.7236,-72.4875,1.73,91,100,2.59,CL,1712568537
9,port mathurin,-19.6833,63.4167,27.18,79,20,4.39,MU,1712568788
10,adamstown,-25.066,-130.1015,23.88,86,34,3.37,PN,1712568788
11,cabo san lucas,22.8909,-109.9124,19.73,73,56,2.24,MX,1712568361
12,szigetvar,46.0486,17.8055,21.53,54,65,5.53,HU,1712568789
13,rio grande,-32.035,-52.0986,20.53,90,98,8.87,BR,1712568519
14,port-aux-francais,-49.35,70.2167,6.2,75,23,11.67,TF,1712568789
15,sovetsk,55.0839,21.8785,17.68,52,100,3.33,RU,1712568789
16,ancud,-41.8697,-73.8203,10.18,94,100,2.82,CL,1712568699
17,ust'-kulom,61.6864,53.6902,-0.28,94,100,4.14,RU,1712568790
18,badger,64.8,-147.5333,-0.86,71,100,2.57,US,1712568790
19,talnakh,69.4865,88.3972,-7.66,89,100,7.85,RU,1712568790
20,bilibino,68.0546,166.4372,-20.74,100,40,1.75,RU,1712568791
21,saudarkrokur,65.7461,-19.6394,-0.52,85,90,8.43,IS,1712568791
22,brezina,33.0989,1.2608,25.66,12,100,6.01,DZ,1712568791
23,puerto carreno,6.189,-67.4859,27.87,63,100,1.99,CO,1712568542
24,petropavlovsk-kamchatsky,53.0452,158.6483,2.47,82,75,0.89,RU,1712568791
25,albany,42.6001,-73.9662,2.08,77,0,1.34,US,1712568608
26,itoman,26.1247,127.6694,22.43,98,75,5.66,JP,1712568792
27,murzuq,25.9155,13.9184,27.27,8,0,2.18,LY,1712568667
28,papatowai,-46.5619,169.4708,11.45,82,97,3.25,NZ,1712568792
29,utrik,11.2278,169.8474,26.85,84,86,10.29,MH,1712568792
30,rocky mountain house,52.3668,-114.9188,-1.94,64,0,1.54,CA,1712568522
31,port lincoln,-34.7333,135.8667,15.23,63,79,7.9,AU,1712568793
32,invercargill,-46.4,168.35,13.9,79,72,2.24,NZ,1712568793
33,nago,26.5881,127.9761,22.47,96,100,4.99,JP,1712568793
34,blackmans bay,-43.0167,147.3167,10.96,70,69,3.28,AU,1712568793
35,walvis bay,-22.9575,14.5053,21.53,52,0,3.6,NA,1712568794
36,sabang,5.8933,95.3214,29.52,73,70,5.28,ID,1712568794
37,bredasdorp,-34.5322,20.0403,18.23,92,100,4.25,ZA,1712568794
38,bethel,41.3712,-73.414,5.52,71,0,0.0,US,1712568794
39,sao vicente,-23.9631,-46.3919,25.1,26,99,1.35,BR,1712568794
40,abu jibeha,11.4562,31.2285,36.3,7,18,5.13,SD,1712568794
41,lorengau,-2.0226,147.2712,27.52,82,100,4.11,PG,1712568795
42,tiksi,71.6872,128.8694,-10.02,80,93,10.51,RU,1712568795
43,ushuaia,-54.8,-68.3,0.81,93,100,10.29,AR,1712568763
44,lobujya,27.95,86.8167,-7.58,88,55,4.83,NP,1712568795
45,meadow lake,34.8014,-106.5436,5.71,26,6,1.35,US,1712568795
46,campos belos,-13.0367,-46.7717,21.19,96,87,1.45,BR,1712568796
47,avarua,-21.2078,-159.775,26.03,89,20,5.14,CK,1712568796
48,waitangi,-43.9535,-176.5597,11.57,86,16,4.55,NZ,1712568796
49,punta arenas,-53.15,-70.9167,1.06,86,20,8.23,CL,1712568705
50,gizo,-8.103,156.8419,27.67,80,100,2.77,SB,1712568797
51,tofol,5.3248,163.0078,27.5,84,100,6.34,FM,1712568797
52,saipan,15.1355,145.701,27.39,78,20,7.72,MP,1712568797
53,ust-tsilma,65.441,52.1498,-4.66,90,100,1.34,RU,1712568797
54,hithadhoo,-0.6,73.0833,29.42,69,57,1.14,MV,1712568797
55,dawesville,30.9224,-84.0091,14.09,83,0,1.54,US,1712568798
56,thompson,55.7435,-97.8558,-1.91,74,40,0.0,CA,1712568798
57,longyearbyen,78.2186,15.6401,-15.09,66,20,4.12,SJ,1712568798
58,ribeira grande,38.5167,-28.7,16.22,94,75,6.71,PT,1712568798
59,east london,-33.0153,27.9116,19.52,88,40,2.06,ZA,1712568799
60,labrador city,52.9463,-66.9114,-1.05,69,99,5.66,CA,1712568613
61,port shepstone,-30.7414,30.455,24.7,70,100,12.5,ZA,1712568799
62,ilulissat,69.2167,-51.1,-8.99,92,75,0.0,GL,1712568799
63,bandarbeyla,9.4942,50.8122,29.57,62,10,4.62,SO,1712568800
64,margaret river,-33.95,115.0667,19.0,57,0,6.41,AU,1712568794
65,carloforte,39.145,8.3058,20.18,50,100,6.9,IT,1712568800
66,grytviken,-54.2811,-36.5092,2.35,61,31,2.21,GS,1712568800
67,al lagowa,11.4,29.1333,37.17,7,41,5.06,SD,1712568800
68,edinburgh of the seven seas,-37.0676,-12.3116,18.4,94,100,8.41,SH,1712568800
69,rouyn-noranda,48.2398,-79.0288,-3.95,86,20,0.0,CA,1712568801
70,melekhovo,56.2773,41.2935,12.44,73,100,4.92,RU,1712568801
71,stanley,54.868,-1.6985,10.4,77,40,3.6,GB,1712568801
72,alo,7.4178,6.7371,34.4,49,84,3.54,NG,1712568801
73,polyarnyy,69.1989,33.4478,-3.2,79,100,7.25,RU,1712568801
74,alzey,49.7517,8.1161,23.42,51,51,3.1,DE,1712568802
75,ha'il,27.5219,41.6907,28.01,24,0,9.26,SA,1712568802
76,pangody,65.85,74.4859,-2.72,82,99,6.9,RU,1712568802
77,hamilton,39.1834,-84.5333,13.47,69,100,2.57,US,1712568682
78,hermanus,-34.4187,19.2345,18.22,89,100,6.27,ZA,1712568508
79,nova sintra,14.8667,-24.7167,23.05,76,0,12.23,CV,1712568802
80,callao,-12.0667,-77.15,22.62,88,20,2.06,PE,1712568756
81,fisterra,42.9049,-9.2629,12.08,70,100,11.62,ES,1712568803
82,usinsk,65.9939,57.5281,-3.85,75,100,5.81,RU,1712568803
83,contramaestre,20.2978,-76.2414,22.74,91,91,0.9,CU,1712568803
84,sandnessjoen,66.0217,12.6316,7.29,87,75,4.63,NO,1712568804
85,qaqortoq,60.7167,-46.0333,-3.35,93,100,0.81,GL,1712568804
86,saynshand,44.8824,110.1163,15.4,28,99,6.56,MN,1712568804
87,port elizabeth,-33.918,25.5701,22.28,87,20,2.06,ZA,1712568804
88,rovnoye,50.7765,46.0509,11.57,64,25,2.46,RU,1712568805
89,kaa-khem,51.6833,94.7333,13.56,48,99,1.17,RU,1712568805
90,mount pearl,47.5166,-52.7813,-0.48,97,100,9.77,CA,1712568798
91,viedma,-40.8135,-62.9967,19.53,50,100,4.28,AR,1712568622
92,udachny,66.4167,112.4,-5.31,62,15,4.74,RU,1712568806
93,kurmuk,10.55,34.2833,37.29,20,33,2.27,SD,1712568806
94,grantsville,40.5999,-112.4644,2.02,86,0,1.54,US,1712568806
95,kodinsk,58.6881,99.1844,-1.42,74,49,2.79,RU,1712568806
96,northam,51.0333,-4.2167,12.56,92,100,8.48,GB,1712568806
97,freetown,8.484,-13.2299,28.84,70,20,3.09,SL,1712568762
98,st. john's,47.5649,-52.7093,-0.02,97,100,9.77,CA,1712568807
99,somerset east,-32.7217,25.588,16.81,86,100,5.16,ZA,1712568807
100,noumea,-22.2763,166.4572,27.22,99,78,4.01,NC,1712568607
101,bel ombre,-4.6167,55.4167,27.91,89,75,3.09,SC,1712568807
102,hawaiian paradise park,19.5933,-154.9731,21.6,90,100,0.89,US,1712568808
103,el granada,37.5027,-122.4694,11.31,86,0,4.63,US,1712568808
104,batticaloa,7.7102,81.6924,30.42,60,71,5.58,LK,1712568808
105,umm kaddadah,13.6017,26.6876,35.29,7,6,5.6,SD,1712568808
106,zaysan,47.4667,84.8667,16.35,31,100,2.73,KZ,1712568809
107,opuwo,-18.0607,13.84,29.02,31,29,3.61,NA,1712568809
108,chingirlau,51.095,54.0814,9.98,70,91,5.86,KZ,1712568809
109,novyy urgal,51.0736,132.5642,-1.31,60,100,2.49,RU,1712568809
110,yellowknife,62.456,-114.3525,0.23,95,20,3.6,CA,1712568523
111,saint john,45.2727,-66.0677,-1.0,93,0,3.6,CA,1712568347
112,ryazan',55.6744,36.6697,15.32,62,96,5.19,RU,1712568810
113,tralee,52.2704,-9.7026,7.14,93,75,1.54,IE,1712568810
114,happy valley-goose bay,53.3168,-60.3315,-1.83,80,75,2.06,CA,1712568581
115,lompoc,34.6391,-120.4579,9.08,81,0,4.12,US,1712568810
116,bonthe,7.5264,-12.505,30.17,64,50,0.34,SL,1712568810
117,nadym,65.5333,72.5167,-5.02,94,59,7.5,RU,1712568810
118,ostrach,47.95,9.3833,22.39,40,45,3.96,DE,1712568811
119,apatzingan,19.0833,-102.35,22.52,41,0,0.95,MX,1712568811
120,tolanaro,-25.0319,46.9987,23.04,88,75,2.06,MG,1712568811
121,barakani,-12.1356,44.4317,28.89,77,100,2.74,KM,1712568812
122,rongelap,11.1635,166.8941,27.02,81,87,9.75,MH,1712568812
123,mersin,36.862,34.6509,19.44,54,95,1.85,TR,1712568812
124,afaahiti,-17.75,-149.2833,26.93,84,100,3.56,PF,1712568812
125,shingu,33.7333,135.9833,16.78,97,100,2.05,JP,1712568812
126,anadyr,64.75,177.4833,-16.72,78,0,2.0,RU,1712568812
127,acolla,-11.7319,-75.5463,6.66,88,93,0.74,PE,1712568813
128,iqaluit,63.7506,-68.5145,-17.15,78,20,5.66,CA,1712568612
129,college,64.8569,-147.8028,-0.82,69,75,2.57,US,1712568813
130,coos bay,43.3665,-124.2179,5.99,100,75,2.57,US,1712568487
131,jutai,-5.1833,-68.9,22.47,100,99,0.17,BR,1712568814
132,vila franca do campo,37.7167,-25.4333,18.27,99,44,2.92,PT,1712568814
133,tamanrasset,22.785,5.5228,27.95,9,17,9.77,DZ,1712568814
134,neiafu,-18.65,-173.9833,26.81,82,75,10.68,TO,1712568814
135,onokhoy,51.932,108.0747,12.86,67,95,5.04,RU,1712568815
136,suva,-18.1416,178.4415,26.71,89,20,3.09,FJ,1712568815
137,chhor,25.5167,69.7667,40.63,6,0,2.72,PK,1712568815
138,aasiaat,68.7098,-52.8699,-9.62,97,99,3.12,GL,1712568816
139,hurricane,37.1753,-113.2899,7.5,49,0,3.73,US,1712568816
140,malmberget,67.1753,20.6549,-1.69,86,100,2.06,SE,1712568816
141,korla,41.7597,86.1469,20.28,13,25,5.78,CN,1712568664
142,tazovsky,67.4667,78.7,-3.38,88,96,4.84,RU,1712568817
143,mejit,10.2753,170.8646,26.93,86,97,9.99,MH,1712568817
144,gillette,44.2911,-105.5022,0.51,94,100,8.75,US,1712568690
145,klyuchi,52.2667,79.1667,16.65,44,83,5.2,RU,1712568817
146,muisne,0.6,-80.0333,24.65,88,97,2.31,EC,1712568817
147,dzagam,40.9033,45.8856,10.85,90,100,4.09,AZ,1712568817
148,karak,31.1667,35.75,17.72,37,34,5.23,JO,1712568818
149,tucumcari,35.1717,-103.725,2.91,30,0,3.09,US,1712568818
150,baiyin,36.5583,104.2081,13.81,35,100,4.35,CN,1712568818
151,fada,9.5667,8.3,36.05,24,36,1.21,NG,1712568818
152,constantia,44.1833,28.65,20.39,63,0,3.74,RO,1712568818
153,egilsstadir,65.2653,-14.3948,-0.05,100,100,10.8,IS,1712568818
154,upington,-28.4478,21.2561,19.21,39,40,1.54,ZA,1712568819
155,sinop,41.7711,34.8709,12.24,53,77,3.66,TR,1712568819
156,arraial do cabo,-22.9661,-42.0278,22.92,88,40,4.12,BR,1712568819
157,klaksvik,62.2266,-6.589,8.51,96,100,9.36,FO,1712568819
158,chonchi,-42.6128,-73.8092,8.95,97,97,1.37,CL,1712568696
159,olyokminsk,60.3736,120.4264,-0.16,82,97,2.21,RU,1712568819
160,mogok,22.9167,96.5,31.04,20,1,2.4,MM,1712568820
161,merizo village,13.2658,144.6691,28.31,93,11,8.22,GU,1712568820
162,mahanoro,-19.9,48.8,28.25,68,27,4.01,MG,1712568820
163,debark',13.1561,37.8981,22.34,25,21,2.53,ET,1712568820
164,piti village,13.4626,144.6933,28.49,80,75,5.14,GU,1712568820
165,weno,7.4515,151.8468,28.18,80,66,8.3,FM,1712568820
166,soio,-6.1349,12.3689,29.88,70,86,0.57,AO,1712568821
167,vazante,-17.9869,-46.9078,18.91,84,41,1.05,BR,1712568821
168,mana,5.6592,-53.7767,25.56,85,32,3.14,GF,1712568821
169,hammerfest,70.6634,23.6821,-3.75,80,100,7.2,NO,1712568822
170,ingeniero guillermo n. juarez,-23.9,-61.85,20.9,98,100,1.47,AR,1712568822
171,cifuentes,22.645,-80.0461,16.17,82,0,1.03,CU,1712568822
172,hadibu,12.65,54.0333,29.97,63,3,3.92,YE,1712568822
173,olonkinbyen,70.9221,-8.7187,-4.47,83,100,10.32,SJ,1712568822
174,meulaboh,4.1363,96.1285,29.03,78,32,2.97,ID,1712568822
175,hassi messaoud,31.6804,6.0729,29.92,8,0,3.6,DZ,1712568823
176,atafu village,-8.5421,-172.5159,29.88,74,15,4.24,TK,1712568823
177,iskateley,67.6803,53.1512,-8.32,81,7,4.02,RU,1712568823
178,quibala,-10.7337,14.98,24.64,71,62,0.7,AO,1712568823
179,dudinka,69.4058,86.1778,-7.43,95,100,8.57,RU,1712568823
180,yokadouma,3.5167,15.05,29.92,48,100,1.32,CM,1712568823
181,lihue,21.9789,-159.3672,22.77,80,75,7.2,US,1712568824
182,kavaratti,10.5669,72.642,29.07,70,52,1.61,IN,1712568824
183,enewetak,11.3474,162.3373,27.18,82,78,9.06,MH,1712568824
184,neryungri,56.6709,124.6491,-4.9,91,59,0.66,RU,1712568824
185,heroica caborca,30.7167,-112.15,15.02,37,100,0.62,MX,1712568825
186,akureyri,65.6835,-18.0878,-0.04,86,75,6.17,IS,1712568825
187,tocopilla,-22.092,-70.1979,19.59,83,57,3.22,CL,1712568535
188,formosa do rio preto,-11.0483,-45.1931,21.86,95,66,1.21,BR,1712568825
189,jamestown,42.097,-79.2353,8.17,51,0,1.54,US,1712568825
190,vorgashor,67.5833,63.95,-9.55,91,82,7.41,RU,1712568825
191,adler,43.43,39.92,17.09,55,31,3.0,RU,1712568711
192,yopal,5.3378,-72.3959,23.21,72,99,1.2,CO,1712568826
193,trevelin,-43.0858,-71.4639,9.71,93,100,2.14,AR,1712568826
194,mil'kovo,55.6078,37.7956,17.08,58,100,6.2,RU,1712568826
195,praia da vitoria,38.7333,-27.0667,15.98,88,75,4.45,PT,1712568826
196,bulgan,48.8125,103.5347,13.42,33,95,2.45,MN,1712568826
197,alofi,-19.0595,-169.9187,25.94,89,100,5.66,NU,1712568826
198,touros,-5.1989,-35.4608,26.47,88,94,3.64,BR,1712568726
199,yardimli,38.9206,48.2372,5.77,95,100,1.5,AZ,1712568827
200,gubat,12.9206,124.1231,26.67,87,30,3.82,PH,1712568827
201,veraval,20.9,70.3667,29.54,59,0,7.95,IN,1712568827
202,kavieng,-2.5744,150.7967,26.04,87,100,2.59,PG,1712568827
203,aibak,36.2647,68.0155,24.32,29,12,2.99,AF,1712568827
204,mahebourg,-20.4081,57.7,29.58,79,40,3.6,MU,1712568828
205,esmeraldas,-19.7625,-44.3139,20.41,93,46,1.72,BR,1712568740
206,gadzhiyevo,69.2551,33.3362,-2.96,79,100,7.27,RU,1712568828
207,ust-nera,64.5667,143.2,-14.42,99,71,1.88,RU,1712568828
208,castillos,-34.1667,-53.8333,17.62,93,8,1.3,UY,1712568800
209,fauske,67.2588,15.3918,7.1,99,99,2.8,NO,1712568828
210,withernsea,53.7311,0.0335,13.3,84,100,5.69,GB,1712568829
211,mount isa,-20.7333,139.5,24.87,41,0,3.6,AU,1712568829
212,pandan,14.0453,124.1694,26.94,82,35,4.17,PH,1712568829
213,puerto ayora,-0.7393,-90.3518,23.64,98,38,1.7,EC,1712568829
214,hasaki,35.7333,140.8333,19.05,94,99,4.02,JP,1712568829
215,macin,45.2437,28.1356,21.25,29,1,1.17,RO,1712568830
216,tidjikja,18.5564,-11.4271,28.66,22,0,7.08,MR,1712568830
217,port macquarie,-31.4333,152.9167,19.94,72,91,1.21,AU,1712568580
218,karratha,-20.7377,116.8463,32.33,21,88,5.62,AU,1712568830
219,thunder bay,48.4001,-89.3168,3.99,75,100,4.63,CA,1712568734
220,carnarvon,-24.8667,113.6333,27.09,56,0,6.36,AU,1712568830
221,antsiranana,-12.2787,49.2917,32.42,58,20,6.17,MG,1712568831
222,yilan,24.757,121.753,22.92,91,92,1.21,TW,1712568831
223,abeche,13.8292,20.8324,37.76,6,61,5.71,TD,1712568831
224,guerrero negro,27.9769,-114.0611,14.19,68,3,9.02,MX,1712568831
225,khandyga,62.6667,135.6,-8.21,96,100,0.08,RU,1712568831
226,grand falls-windsor,48.9332,-55.6649,-1.39,82,14,1.79,CA,1712568831
227,pyt-yakh,60.7499,72.8582,-2.97,98,100,3.91,RU,1712568832
228,kiboga,0.9161,31.7742,25.01,59,90,2.77,UG,1712568832
229,sinsang-ni,39.6503,127.4058,9.9,51,100,0.82,KP,1712568832
230,saldanha,-33.0117,17.9442,19.03,87,89,4.67,ZA,1712568832
231,howard springs,-12.497,131.047,29.95,71,89,1.58,AU,1712568832
232,luanco,43.6152,-5.7934,15.01,80,99,3.13,ES,1712568832
233,urucara,-2.5364,-57.76,23.08,96,100,1.21,BR,1712568833
234,mar del plata,-38.0023,-57.5575,16.4,97,100,2.06,AR,1712568271
235,siofok,46.9041,18.058,18.29,60,87,4.66,HU,1712568833
236,taroudant,30.4703,-8.877,20.0,62,0,2.1,MA,1712568833
237,mandalgovi,45.7625,106.2708,8.95,47,100,3.58,MN,1712568833
238,whitehorse,60.7161,-135.0538,0.43,64,100,5.14,CA,1712568833
239,guarapari,-20.6667,-40.4975,22.16,77,75,1.52,BR,1712568744
240,kerikeri,-35.2268,173.9474,17.17,87,38,2.37,NZ,1712568834
241,redlands,34.0556,-117.1825,9.03,78,0,1.54,US,1712568671
242,nishinoomote,30.7333,131.0,21.31,100,100,2.06,JP,1712568834
243,howrah,22.5892,88.3103,32.0,48,40,4.63,IN,1712568834
244,ulladulla,-35.35,150.4667,15.98,82,34,2.99,AU,1712568834
245,francistown,-21.17,27.5079,20.92,83,100,4.7,BW,1712568834
246,pailon,-17.65,-62.75,25.5,97,100,2.47,BO,1712568835
247,along,28.1667,94.7667,23.38,68,100,0.69,IN,1712568835
248,keflavik,64.0049,-22.5624,1.24,75,75,10.8,IS,1712568835
249,al kharj,24.155,47.3346,31.32,25,100,5.61,SA,1712568665
250,kabare,-2.4683,28.8242,21.58,84,100,1.01,CD,1712568835
251,vila velha,-20.3297,-40.2925,22.19,95,0,1.54,BR,1712568295
252,grootfontein,-19.5667,18.1167,24.76,57,20,2.06,NA,1712568836
253,san antonio de pale,-1.4014,5.6325,28.28,76,97,3.35,GQ,1712568836
254,aljezur,37.3191,-8.8033,15.85,88,80,6.91,PT,1712568836
255,kitimat,54.0524,-128.6534,4.95,67,100,1.79,CA,1712568836
256,pangai,-19.8,-174.35,26.67,77,94,10.47,TO,1712568837
257,laguna,38.421,-121.4238,10.07,82,0,2.57,US,1712568837
258,gilgit,35.9221,74.3087,10.9,29,0,1.44,PK,1712568837
259,colonia,50.9333,6.95,19.98,73,20,2.06,DE,1712568818
260,georgetown,5.4112,100.3354,26.96,89,40,11.32,MY,1712568785
261,dadukou,26.5479,101.7054,34.3,15,47,4.26,CN,1712568838
262,kabinda,-6.1333,24.4833,20.15,96,100,1.74,CD,1712568838
263,san mariano,7.5,126.0,25.59,77,100,0.63,PH,1712568838
264,tagiura,32.8817,13.3506,22.72,42,0,5.23,LY,1712568838
265,villa ojo de agua,-29.5,-63.6938,12.29,98,44,2.56,AR,1712568838
266,susuman,62.7833,148.1667,-6.68,69,100,1.34,RU,1712568838
267,lebu,-37.6167,-73.65,12.93,97,96,1.09,CL,1712568839
268,west island,-12.1568,96.8225,29.99,70,40,5.66,CC,1712568839
269,crane,31.3974,-102.3501,15.05,20,4,1.72,US,1712568839
270,karaton,-6.3424,106.1045,28.36,76,94,1.74,ID,1712568839
271,ad dabbah,18.05,30.95,32.79,6,34,5.38,SD,1712568839
272,chengde,40.9725,117.9361,14.77,23,40,6.29,CN,1712568839
273,jiagedaqi,50.4167,124.1167,0.97,46,82,2.03,CN,1712568840
274,sinabang,2.4803,96.3801,29.17,74,99,2.5,ID,1712568840
275,deming,32.2687,-107.7586,3.94,30,0,2.57,US,1712568840
276,necochea,-38.5473,-58.7368,14.68,79,82,4.75,AR,1712568840
277,newport east,41.5158,-71.2875,4.68,72,0,0.0,US,1712568841
278,birobidzhan,48.8,132.95,1.57,47,100,6.03,RU,1712568841
279,yeniseysk,58.4497,92.1703,-0.03,71,30,2.24,RU,1712568841
280,merritt,50.1123,-120.7942,2.51,88,100,1.77,CA,1712568841
281,chulakkurgan,43.765,69.1814,20.99,32,84,4.97,KZ,1712568841
282,sao tome,0.3365,6.7273,25.74,91,100,0.32,ST,1712568841
283,vilyuchinsk,52.9306,158.4028,3.29,96,100,0.86,RU,1712568842
284,esqueda,30.7167,-109.5833,9.91,23,48,2.91,MX,1712568842
285,okha,53.5739,142.9478,-1.53,92,27,10.28,RU,1712568843
286,tete,-16.1564,33.5867,31.05,51,40,4.12,MZ,1712568843
287,ebon,4.582,168.6964,28.04,85,100,10.31,MH,1712568843
288,uturoa,-16.7333,-151.4333,29.04,78,100,3.75,PF,1712568843
289,corinto,37.9407,22.9573,21.24,40,3,9.43,GR,1712568844
290,panshi,42.9422,126.0561,4.47,20,0,4.62,CN,1712568844
291,hobyo,5.3505,48.5268,31.04,64,72,5.79,SO,1712568844
292,timimoun,29.2639,0.231,32.21,8,48,2.57,DZ,1712568844
293,matoury,4.8483,-52.3317,22.98,100,20,1.03,GF,1712568844
294,camalu,30.85,-116.0667,8.14,77,5,5.26,MX,1712568845
295,abepura,-2.6333,140.5833,26.45,94,40,1.03,ID,1712568845
296,khovd,48.0056,91.6419,10.89,42,96,4.76,MN,1712568845
297,macclenny,30.2822,-82.1221,15.77,86,96,1.58,US,1712568808
298,palmer,42.1584,-72.3287,3.94,81,0,0.0,US,1712568720
299,ginir,7.1333,40.7,22.02,57,69,4.28,ET,1712568846
300,sisimiut,66.9395,-53.6735,-8.47,88,92,4.19,GL,1712568846
